epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.028,1.32513,2.30904,1.48382,0.0329,0.09334,0.01475,0.00617,1.9836,inf,2.3595,0.000414815,0.000414815,0.000414815
2,203.347,1.70126,2.68182,1.75498,0.15033,0.10662,0.04159,0.02056,2.12267,6.40189,2.15013,0.00082325,0.00082325,0.00082325
3,305.531,1.69102,2.61506,1.73868,0.05375,0.18101,0.03071,0.01621,1.92541,8.87459,1.88612,0.00122343,0.00122343,0.00122343
4,405.765,1.59698,2.47604,1.67114,0.27232,0.22402,0.15165,0.09028,1.62101,2.63302,1.73842,0.00121287,0.00121287,0.00121287
5,506.811,1.51141,2.29689,1.60818,0.27037,0.26265,0.20938,0.11904,1.55146,2.49156,1.65585,0.0012005,0.0012005,0.0012005
6,607.868,1.4626,2.22292,1.57855,0.36467,0.27866,0.24146,0.14559,1.48523,2.35128,1.6102,0.00118812,0.00118812,0.00118812
7,708.605,1.39798,2.08896,1.53926,0.38375,0.29563,0.26931,0.1569,1.47343,2.17707,1.59573,0.00117575,0.00117575,0.00117575
8,809.91,1.38941,2.03583,1.53781,0.43161,0.29462,0.28396,0.16831,1.45606,2.13685,1.58638,0.00116337,0.00116337,0.00116337
9,910.932,1.33746,1.94385,1.48993,0.43116,0.34125,0.32712,0.19557,1.40227,1.95083,1.52735,0.001151,0.001151,0.001151
10,1012.01,1.32643,1.89258,1.48489,0.47912,0.31362,0.31321,0.18563,1.39556,2.09114,1.52969,0.00113863,0.00113863,0.00113863
11,1111.31,1.30405,1.83667,1.47631,0.40509,0.34983,0.31918,0.19433,1.36692,1.91356,1.51734,0.00112625,0.00112625,0.00112625
12,1211.21,1.27769,1.78292,1.44334,0.49093,0.38331,0.383,0.23446,1.36714,1.83138,1.49826,0.00111388,0.00111388,0.00111388
13,1312.38,1.25413,1.70912,1.42606,0.48291,0.36494,0.36998,0.2372,1.31726,1.80177,1.48203,0.0011015,0.0011015,0.0011015
14,1413.8,1.23419,1.66603,1.42183,0.44132,0.39804,0.37266,0.23926,1.27719,1.78358,1.45278,0.00108913,0.00108913,0.00108913
15,1514.36,1.21445,1.63586,1.40728,0.5147,0.40909,0.40356,0.2566,1.31603,1.75782,1.48323,0.00107675,0.00107675,0.00107675
16,1615.67,1.21718,1.64007,1.39832,0.51695,0.36193,0.37672,0.2431,1.2974,1.78962,1.44163,0.00106437,0.00106437,0.00106437
17,1715.38,1.19908,1.58452,1.39173,0.54126,0.42104,0.41932,0.26771,1.28456,1.76653,1.46781,0.001052,0.001052,0.001052
18,1816.39,1.1564,1.52868,1.36742,0.47169,0.43526,0.41993,0.2654,1.28342,1.70265,1.44712,0.00103962,0.00103962,0.00103962
19,1915.67,1.14436,1.48277,1.35606,0.50378,0.40843,0.41818,0.27314,1.25981,1.70657,1.42334,0.00102725,0.00102725,0.00102725
20,2016.94,1.15294,1.48766,1.3633,0.52883,0.39458,0.40411,0.26765,1.25279,1.68849,1.4264,0.00101488,0.00101488,0.00101488
21,2116.51,1.13694,1.44602,1.35306,0.49952,0.42953,0.41293,0.2769,1.24685,1.61283,1.43257,0.0010025,0.0010025,0.0010025
22,2217.74,1.11235,1.40629,1.32816,0.50289,0.42762,0.42207,0.27326,1.26723,1.64173,1.43526,0.000990125,0.000990125,0.000990125
23,2317.5,1.10513,1.38319,1.3187,0.53908,0.38243,0.42017,0.27638,1.22249,1.6219,1.39758,0.00097775,0.00097775,0.00097775
24,2417.74,1.10436,1.35159,1.32288,0.55633,0.41398,0.43617,0.28771,1.17098,1.56951,1.36917,0.000965375,0.000965375,0.000965375
25,2518.88,1.10498,1.35859,1.32105,0.53666,0.42389,0.43716,0.29175,1.19633,1.57253,1.37249,0.000953,0.000953,0.000953
26,2620.13,1.07966,1.32031,1.30982,0.5457,0.40722,0.43515,0.28474,1.23908,1.60492,1.41289,0.000940625,0.000940625,0.000940625
27,2719.77,1.06053,1.27223,1.29222,0.58144,0.41394,0.43879,0.29495,1.2026,1.56902,1.39835,0.00092825,0.00092825,0.00092825
28,2821.05,1.06092,1.25752,1.28996,0.48579,0.46758,0.45142,0.29905,1.19575,1.57455,1.3797,0.000915875,0.000915875,0.000915875
29,2921.85,1.05966,1.24697,1.30197,0.53917,0.39311,0.41531,0.28088,1.2246,1.672,1.39906,0.0009035,0.0009035,0.0009035
30,3022.1,1.036,1.21619,1.28471,0.54664,0.45085,0.46569,0.31167,1.21063,1.53373,1.41998,0.000891125,0.000891125,0.000891125
31,3122.62,1.04846,1.21766,1.28514,0.54975,0.44585,0.45292,0.30656,1.16876,1.59771,1.37347,0.00087875,0.00087875,0.00087875
32,3222.8,1.01727,1.16317,1.26536,0.59339,0.43297,0.46074,0.30435,1.22147,1.5225,1.39938,0.000866375,0.000866375,0.000866375
33,3322.99,1.02646,1.16396,1.26957,0.58651,0.44441,0.47283,0.30857,1.21683,1.55735,1.41109,0.000854,0.000854,0.000854
34,3423.23,1.00731,1.15249,1.26933,0.53975,0.42983,0.4246,0.28561,1.17352,1.56762,1.38183,0.000841625,0.000841625,0.000841625
35,3522.67,0.99962,1.11462,1.25966,0.60499,0.40026,0.45806,0.30821,1.20102,1.5594,1.38019,0.00082925,0.00082925,0.00082925
36,3623.12,1.00567,1.08515,1.25637,0.55622,0.46436,0.47118,0.31698,1.19179,1.50811,1.38615,0.000816875,0.000816875,0.000816875
37,3725.27,0.97352,1.07487,1.23754,0.55921,0.45268,0.47869,0.31554,1.20456,1.52854,1.39775,0.0008045,0.0008045,0.0008045
38,3827.15,0.98006,1.05528,1.23636,0.62306,0.45691,0.49061,0.32555,1.22946,1.48913,1.41017,0.000792125,0.000792125,0.000792125
39,3929.1,0.9649,1.05088,1.22468,0.59669,0.41911,0.46386,0.31159,1.21204,1.58983,1.40245,0.00077975,0.00077975,0.00077975
40,4032.01,0.97032,1.02401,1.23564,0.60394,0.44003,0.48247,0.32557,1.17266,1.47082,1.37759,0.000767375,0.000767375,0.000767375
41,4133.4,0.95208,1.00101,1.21888,0.60218,0.45883,0.49224,0.32992,1.17708,1.52451,1.36162,0.000755,0.000755,0.000755
42,4236.11,0.9576,0.98175,1.22174,0.58834,0.46006,0.4784,0.32355,1.19767,1.4967,1.38939,0.000742625,0.000742625,0.000742625
43,4336.66,0.95104,0.97496,1.2224,0.64316,0.42728,0.47678,0.31475,1.20147,1.53424,1.40338,0.00073025,0.00073025,0.00073025
44,4436.96,0.92455,0.94401,1.19547,0.67125,0.39444,0.46766,0.30468,1.22689,1.55807,1.41159,0.000717875,0.000717875,0.000717875
45,4537.45,0.92015,0.93155,1.20656,0.632,0.44056,0.47486,0.3101,1.21355,1.56331,1.41856,0.0007055,0.0007055,0.0007055
46,4638.51,0.91364,0.91878,1.19447,0.55655,0.4533,0.47143,0.31492,1.21711,1.56737,1.42662,0.000693125,0.000693125,0.000693125
47,4738.5,0.91288,0.92112,1.19271,0.55614,0.48352,0.4827,0.31344,1.21656,1.52483,1.42462,0.00068075,0.00068075,0.00068075
48,4838.78,0.89877,0.87662,1.18362,0.61152,0.42092,0.4699,0.31542,1.21731,1.61713,1.42156,0.000668375,0.000668375,0.000668375
49,4938.4,0.88983,0.8721,1.17858,0.58825,0.46789,0.48505,0.32935,1.21182,1.53882,1.42104,0.000656,0.000656,0.000656
50,5038.12,0.88576,0.85696,1.17487,0.58565,0.4755,0.47812,0.32347,1.18056,1.57424,1.39472,0.000643625,0.000643625,0.000643625
51,5138.07,0.87031,0.8361,1.16728,0.6036,0.44427,0.4739,0.31625,1.22017,1.53899,1.42857,0.00063125,0.00063125,0.00063125
52,5239.68,0.87753,0.84958,1.17451,0.59063,0.44314,0.47884,0.32555,1.19967,1.51311,1.40708,0.000618875,0.000618875,0.000618875
53,5339.29,0.86961,0.81804,1.16128,0.55575,0.46266,0.47249,0.31318,1.17604,1.53793,1.39312,0.0006065,0.0006065,0.0006065
54,5439.83,0.85352,0.7942,1.15659,0.61939,0.48474,0.50495,0.34132,1.20149,1.51776,1.41846,0.000594125,0.000594125,0.000594125
55,5540.31,0.85079,0.78574,1.14806,0.58909,0.48249,0.49097,0.33244,1.20851,1.55336,1.3982,0.00058175,0.00058175,0.00058175
56,5640.25,0.84554,0.78397,1.1479,0.61745,0.4656,0.47746,0.3245,1.2057,1.5732,1.41275,0.000569375,0.000569375,0.000569375
57,5741.42,0.83775,0.75785,1.13944,0.64055,0.44553,0.48972,0.33697,1.18173,1.50018,1.40523,0.000557,0.000557,0.000557
58,5842.32,0.8344,0.74809,1.14104,0.57366,0.48735,0.4788,0.32329,1.18094,1.58599,1.39736,0.000544625,0.000544625,0.000544625
59,5941.65,0.81511,0.73041,1.13486,0.56696,0.47897,0.47551,0.33064,1.20657,1.56902,1.4249,0.00053225,0.00053225,0.00053225
60,6042.33,0.80804,0.72375,1.11667,0.61216,0.46725,0.48713,0.33932,1.15122,1.51828,1.37157,0.000519875,0.000519875,0.000519875
